chinese,pinyin,english,lesson
水,shuǐ ,water,1-1
水果,shuǐ guǒ ,fruit,2-3
水杯,shuǐ bēi ,water cup,2-19
汽水,qì shuǐ ,soda,2-24
跳水,tiào shuǐ ,dive,2-29
眼药水,yǎn yào shuǐ ,eye drops,3-2
洗发水,xǐ fā shuǐ ,shampoo,3-2
水瓶,shuǐ píng ,water bottle,3-11
咖啡,kā fēi ,coffee,1-1
咖啡馆,kā fēi guǎn ,cafe,2-21
和,hé ,and,1-1
暖和,nuǎn huó,warm,2-21
茶,chá,tea,1-1
奶茶,nǎi chá,milk tea,1-7
绿茶,lǜ chá,green tea,1-7
红茶,hóng chá ,black tea,2-20
米饭,mǐ fàn ,rice/food,1-1
爆米花,bào mǐ huā ,popcorn,2-3
玉米,yù mǐ ,corn,2-12
米,mǐ ,rice (raw),2-28
一米,yì mǐ ,one meter,2-30
饭馆,fàn guǎn ,restaurant (casual),1-6
晚饭,wǎn fàn ,dinner,2-3
做饭,zuò fàn ,cook,2-4
吃饭,chī fàn ,eat,2-4
早饭,zǎo fàn ,breakfast,2-8
午饭,wǔ fàn ,lunch,2-24
汤,tāng ,soup,1-1
热,rè ,hot,1-1
热闹,rè nào ,lively,2-2
热情,rè qíng ,enthusiastic,2-18
热狗,rè gǒu ,hot dog,3-16
这是,zhè shì ,this is,1-1
这,zhè ,this,1-7
这里,zhè lǐ ,here,1-8
这些,zhè xiē ,these,2-7
这次,zhè cì ,this time,3-1
这么,zhè me ,such,3-11
这几年,zhè jǐ nián,these past few years,3-17
是,shì ,am/is,1-2
还是,hái shì ,or (choice),1-10
是我,shì wǒ ,it’s me,2-8
我也是,wǒ yě shì ,so do I,2-29
但是,dàn shì ,but,3-18
粥,zhōu ,porridge,1-1
豆腐,dòu fu ,tofu,1-1
土豆,tǔ dòu ,potato,2-4
平时,píng shí ,usually,2-20
一路平安,yí lù píng ān ,safe travels,3-21
联系,lián xì ,contact,3-21
自行车,zì xíng chē ,bicycle,2-23
行李箱,xíng li xiāng ,suitcase,3-21
天安门,tiān ān mén ,tian an men,2-28
行李,xíng li ,luggage,1-8
流行,liú xíng ,in fashion,2-5
不行,bù xíng ,no,2-6
旅行,lǚ xíng ,travel,2-13
举行,jǔ xíng ,hold,2-17
李,lǐ ,li (name),1-9
一些,yì xiē ,some,2-3
一起,yì qǐ,together,2-5
一边,yì biān ,while,2-23
一共,yí gòng ,altogether,2-25
在一起,zài yì qǐ ,be together,3-9
大一,dà yī ,freshman,3-10
聚在一起,jù zài yì qǐ ,gather,3-12
一会儿,yí huì er ,a little while,3-13
路,lù,road,3-7
安静,ān jìng ,quiet,2-11
晚安,wǎn ān ,good night,2-23
安全,ān quán,safe,2-26
出去玩儿,chū qù wán r,go out for fun,2-6
出生,chū shēng ,born,2-13
出国,chū guó ,travel abroad,2-13
出发,chū fā ,depart,2-15
出租车,chū zū chē ,taxi,2-15
演出,yǎn chū ,performance,3-16
出来,chū lái ,come out,3-16
出口,chū kǒu ,exit,3-16
出差,chū chāi ,go on biz trip,3-21
差不多,chà bù duō ,almost,2-28
差,chà ,poor,3-4
马上,mǎ shàng ,soon,2-24
罗马,luó mǎ ,Rome,3-21
几,jǐ ,several/how many,2-4
几点,jǐ diǎn ,what time,2-15
几个,jǐ gè ,few,3-11
几月几号,jǐ yuè jǐ hào ,what date,3-21
月,yuè ,month,3-10
导演,dǎo yǎn ,director,3-22
支,zhī ,branch,2-27
支持,zhī chí ,support,3-22
姑姑,gū gu ,aunt,3-22
亲近,qīn jìn ,close (relation),3-22
叔叔,shū shu ,uncle,3-22
拍,pāi ,film/take photo,3-22
决定,jué dìng ,decide,3-22
年,nián ,year,2-13
今年,jīn nián ,this year,2-21
明年,míng nián ,next year,3-5
年轻,nián qīng ,young,3-6
去年,qù nián ,last year,3-11
年龄,nián líng ,age,3-12
哪年,nǎ nián ,which year,3-21
大学生,dà xué shēng ,university student,1-4
加拿大,jiā ná dà ,Canada,1-5
大,dà ,big,2-1
长大,zhǎng dà ,grew up,2-13
大衣,dà yī ,coat,2-21
多大,duō dà ,how big/old,2-22
大门,dà mén ,main entrance,2-26
大巴,dà bā ,bus (informal),3-1
大学,dà xué ,university,3-5
大蒜,dà suàn ,garlic,3-15
澳大利亚,ào dà lì yà ,australia,3-18
大家,dà jiā ,everyone (group),3-22
演唱会,yǎn chàng huì ,concert (pop),2-17
演员,yǎn yuán ,actor,3-6
表演,biǎo yǎn ,perform,3-16
老家,lǎo jiā,hometown,2-2
家,jiā,home,2-3
家人,jiā rén,family members,2-12
在家,zài jiā,at home,2-14
家务,jiā wù,housework,2-20
作家,zuò jiā,writer,2-23
家具,jiā jù,furniture,2-25
国家,guó jiā,country,2-29
搬家,bān jiā,relocate,3-17
经理,jīng lǐ,manager,2-18
经历,jīng lì,experience (make the ..),3-22
历史,lì shǐ,history,1-9
外面,wài mian,outside,2-11
外地,wài dì,out of town,2-14
国外,guó wài,abroad,2-17
外卖,wài mài,takeout,2-24
外婆,wài pó,grandmother (mothers),3-3
外公,wài gōng,grandfather (mothers),3-3
外国,wài guó,foreign country,3-6
课外,kè wài,extracurricular,3-10
外套,wài tào,coat/jacket,3-11
户外,hù wài,outdoor,3-11
外语,wài yǔ,foreign language,3-22
语言,yǔ yán,language,2-5
法语,fǎ yǔ,French,2-5
西班牙语,xī bān yá yǔ,Spanish,2-5
日语,rì yǔ,Japanese,2-20
意大利语,yì dà lì yǔ,Italian,2-27
葡萄牙语,pú táo yá yǔ,Portuguese,3-17
德语,dé yǔ,German,3-18
东西,dōng xi,thing,2-7
广东,guǎng dōng,Guangdong,3-15
东京,dōng jīng,Tokyo,3-22
北京,běi jīng,Beijing,2-2
北京大学,běi jīng dà xué,Peking University,2-28
附近,fù jìn,nearby,2-28
近,jìn,close/not far,2-28
最近,zuì jìn,recent,3-2
最近怎么样,zuì jìn zěn me yàng,how are things,3-17
感人,gǎn rén,emotional,3-6
感谢,gǎn xiè,thank,3-22
谢谢,xiè xie,thanks,1-7
不用谢,bú yòng xiè,no need for thanks,2-28
健身房,jiàn shēn fáng,gym,1-10
健康,jiàn kāng,healthy,2-6
前面,qián miàn,front,2-11
前,qián,before,2-13
前天,qián tiān,the day before yesterday,2-30
以前,yǐ qián,long time ago,3-5
提前,tí qián,earlier (ahead),3-7
前台,qián tái,reception,3-21
前女友,qián nǚ yǒu,ex-girlfriend,3-22
手机,shǒu jī,cellphone,1-8
洗碗机,xǐ wǎn jī,dishwasher,2-4
机场,jī chǎng,airport,2-15
飞机,fēi jī,plane,2-15
游戏机,yóu xì jī,game console,2-30
计算机,jì suàn jī,computer science,3-5
相机,xiàng jī,camera,3-11
售货机,shòu huò jī,vending machine,3-16
洗衣机,xǐ yī jī,washing machine,3-19
耳机,ěr jī,headphone,3-20
机会,jī huì,opportunity,3-22
会,huì,can / meeting,2-5
会议室,huì yì shì,meeting room,2-18
奥运会,ào yùn huì,Olympics,2-29
会员,huì yuán,member,3-4
约会对象,yuē huì duì xiàng,date,3-9
晚会,wǎn huì,evening party/gala,3-10
运动会,yùn dòng huì,sports event,3-10
音乐会,yīn yuè huì,concert (classic),3-10
为什么,wèi shén me,why,2-29
为了,wèi le,for,3-22
怎么了,zěn me le,what’s wrong,2-9
太棒了,tài bàng le,great,2-22
除了,chú le,except,3-3
别忘了,bié wàng le,don’t forget,3-11
不用了,bú yòng le,No need,3-14
好了,hǎo le,finished/ready,3-15
坏了,huài le,broken,3-20
后面,hòu miàn,behind,2-11
后天,hòu tiān,the day after tomorrow,2-14
然后,rán hòu,then,2-24
以后,yǐ hòu,future,3-2
后,hòu,after,3-3
后来,hòu lái,later/afterwards,3-22
来,lái,come,2-9
回来,huí lai,return,3-7
从来,cóng lái,never,3-11
听起来,tīng qǐ lai,sound like,3-13
账号,zhàng hào,account,2-25
号,hào,number,2-25
电话号码,diàn huà hào mǎ,phone number,3-10
收拾,shōu shi,tidy up/pack,3-19
身份证,shēn fèn zhèng,ID card,2-19
毕业证,bì yè zhèng,diploma,3-3
签证,qiān zhèng,visa,3-21
预报,yù bào,forecast,2-21
预订,yù dìng,to book,3-4
订,dìng,to book (casual),2-18
订单,dìng dān,order,2-25
没关系,méi guān xi,it's okay,3-7
关系,guān xi,relationship,3-12
站台,zhàn tái,platform,1-8
台灯,tái dēng,lamp,2-7
阳台,yáng tái,balcony,2-26
舞台,wǔ tái,stage,3-16
加入,jiā rù,join,2-14
入口,rù kǒu,entrance (formal),2-17
入住,rù zhù,check in,3-21
住在,zhù zài,live/reside,2-22
门票,mén piào,admission ticket,2-2
门,mén,door,2-21
开门,kāi mén,open door,3-7
关门,guān mén,close/closed,3-7
门口,mén kǒu,entrance/door,3-9
部门,bù mén,department,3-21
哪里,nǎ lǐ,where (std),1-8
哪些,nǎ xiē,which/what (plur.),2-17
哪,nǎ,which/what (sing.),2-18
童年,tóng nián,childhood,3-22
参加,cān jiā,participate,2-11
加油,jiā yóu,keep it up,2-14
新加坡,xīn jiā pō,Singapore,3-18
有名,yǒu míng,famous,2-2
名字,míng zi,name,2-19
名人,míng rén,celebrity,3-3
名片,míng piàn,business card,3-21
薯片,shǔ piàn,chips,2-10
照片,zhào piàn,photo,2-12
动画片,dòng huà piàn,cartoon,2-13
明信片,míng xìn piàn,postcard,3-1
完成,wán chéng,complete,2-27
成都,chéng dū,Chengdu,3-1
成绩,chéng jì,grade/score,3-8
成功,chéng gōng,successful,3-20
成立,chéng lì,establish,3-21
不客气,bú kè qi,you're welcome,1-7
客厅,kè tīng,living room,2-1
客服,kè fú,customer service,3-4
客户,kè hù,client,3-21
回,huí,return/reply,2-13
取消,qǔ xiāo,cancel,3-1
消息,xiāo xi,message,3-21
休息,xiū xi,rest,2-6
信息,xìn xī,information,3-18
同学,tóng xué,classmate,1-9
同事,tóng shì,colleague,2-18
不同,bù tóng,different,2-22
同意,tóng yì,agree,3-21
满意,mǎn yì,satisfied,2-25
意思,yì si,meaning,3-8
没意思,méi yì si,meaningless,3-13
好主意,hǎo zhǔ yi,good idea,3-13
错误,cuò wù,incorrect,3-20
英文,yīng wén,English,1-3
中文,zhōng wén,Chinese,1-3
韩文,hán wén,Korean,1-6
作文,zuò wén,essay,2-27
文学,wén xué,literature,3-10
文化,wén huà,culture,3-18
论文,lùn wén,thesis,3-18
文件,wén jiàn,document,3-20
件,jiàn,[m] clothing,2-18
邮件,yóu jiàn,email,2-27
不错,bú cuò,good/not bad,2-25
错,cuò,wrong,3-8
记得,jì de,remember,2-21
日记,rì jì,diary,2-23
笔记,bǐ jì,note,3-8
觉得,jué de,feel,3-11
日本,rì běn,Japan,1-2
生日,shēng rì,birthday,2-10
日期,rì qī,date (in calendar),3-20
星期六,xīng qī liù,Saturday,2-8
星期天,xīng qī tiān,Sunday,2-10
星期,xīng qī,week,2-14
假期,jià qī,holiday,2-17
期待,qī dài,look forward to,2-29
学期,xué qī,semester,3-8
过期,guò qī,expire,3-15
沙发,shā fā,sofa,2-1
发烧,fā shāo,fever,2-9
发现,fā xiàn,notice / uncover,2-19
头发,tóu fa,hair,3-2
发,fā,send,3-20
书店,shū diàn,bookstore,1-6
书,shū,book,1-6
书架,shū jià,bookshelf,2-7
图书馆,tú shū guǎn,library,2-11
书房,shū fáng,study,2-12
书包,shū bāo,school bag,2-19
书法,shū fǎ,calligraphy,3-10
秘书,mì shū,secretary,3-20
请问,qǐng wèn,excuse me,2-11
没问题,méi wèn tí,No problem,2-24
问题,wèn tí,question/problem,2-27
问,wèn,ask,2-27
有问题,yǒu wèn tí,have a problem,3-4
题目,tí mù,topic,2-27
主题曲,zhǔ tí qǔ,theme song,3-6
报纸,bào zhǐ,newspaper,2-8
纸,zhǐ,paper,3-20
打,dǎ,beat/pack,1-10
打扫,dǎ sǎo,cleaning,2-7
打开,dǎ kāi,turn on,2-29
打印,dǎ yìn,print,3-20
休假,xiū jiǎ,take a vacation,3-20
假,jiǎ,leave/vacation,2-9
暑假,shǔ jià,summer vacation,3-10
一样,yí yàng,same as,3-12
项链,xiàng liàn,necklace,2-10
项目,xiàng mù,project,3-20
节目,jié mù,program,2-12
准备,zhǔn bèi,prepare,2-10
准时,zhǔn shí,on time,3-20
小时候,xiǎo shí hou,when I was young,2-13
有时候,yǒu shí hou,sometimes,2-23
时间,shí jiān,time,2-24
时尚,shí shàng,fashionable,2-25
什么时候,shén me shí hou,when,2-27
当时,dāng shí,at that time,2-30
解决,jiě jué,resolve,3-4
报告,bào gào,report,3-20
告诉,gào su,tell (telling/inform),2-10
第一次,dì yí cì,first time,3-23
人民币,rén mín bì,renminbi,3-23
银行,yín háng,bank,3-23
倒霉,dǎo méi,unlucky,3-23
注意安全,zhù yì ān quán,stay safe,3-23
西红柿,xī hóng shì,tomato,2-4
西瓜,xī guā,watermelon,2-12
西班牙,xī bān yá,Spain,2-29
巴西,bā xī,Brazil,3-17
西安,xī ān,Xi'an,3-23
下一,xià yī,next,3-23
下次,xià cì,next time,3-9
次,cì,[m] time,3-22
迷路,mí lù,getting lost,3-23
路口,lù kǒu,intersection,3-23
本,běn,[m] books,2-19
本地人,běn dì rén,local person,3-23
东,dōng,east,3-23
游,yóu,rel. to movement,1-10
游泳,yóu yǒng,swim,1-10
游戏,yóu xì,game,2-6
游泳池,yóu yǒng chí,swimming pool,2-11
桌游,zhuō yóu,board game,2-13
游乐场,yóu lè chǎng,amusement park,3-7
游客,yóu kè,tourist,3-23
换,huàn,exchange,2-24
抽屉,chōu ti,drawer,3-19
挂,guà,hang,3-19
花盆,huā pén,flowerpot,3-19
下车,xià chē,get off,3-19
地下室,dì xià shì,basement,3-19
楼下,lóu xià,downstairs,3-19
火车站,huǒ chē zhàn,train station,1-8
车票,chē piào,train/bus ticket,1-8
火车,huǒ chē,train,1-8
公交车,gōng jiāo chē,bus,2-3
停车场,tíng chē chǎng,parking lot,2-11
车,chē,car,2-16
停车,tíng chē,park a car,2-17
停,tíng,to park (car),3-19
上网,shàng wǎng,access the internet,2-8
早上,zǎo shang,morning,2-9
晚上,wǎn shang,evening,2-11
上海,shàng hǎi,Shanghai,2-13
上午,shàng wǔ,late morning,2-15
网上,wǎng shàng,online,2-17
早上好,zǎo shang hǎo,good morning,2-18
上,shàng,on/up,2-26
上衣,shàng yī,upper garment,2-30
上楼,shàng lóu,go upstairs,3-19
教学楼,jiào xué lóu,school building,2-11
楼梯,lóu tī,stairs,3-16
申请,shēn qǐng,apply,3-18
亚洲,yà zhōu,Asian,3-18
虽然,suī rán,although,3-18
学费,xué fèi,tuition,3-18
免费,miǎn fèi,free,3-23
它,tā,it,3-18
查,chá,look up,3-18
烦,fán,annoying,3-18
请,qǐng,please,2-9
邀请,yāo qǐng,invite,2-10
请进,qǐng jìn,please come in,2-12
欧洲,ōu zhōu,Europe,3-5
工程师,gōng chéng shī,engineer,3-12
工程,gōng chéng,engineering,3-18
少,shǎo,less/few,2-9
多少钱,duō shǎo qián,how much money,2-25
多少,duō shao,how much,3-4
租,zū,to rent,2-26
租金,zū jīn,the rent,3-18
现金,xiàn jīn,cash,3-1
奖学金,jiǎng xué jīn,scholarship,3-18
当然,dāng rán,of course,2-26
新,xīn,new,1-9
新鲜,xīn xiān,fresh,2-12
新闻,xīn wén,news,2-23
便利店,biàn lì diàn,convenience store,2-26
留学,liú xué,study abroad,3-5
留学生,liú xué shēng,international student,3-18
学生,xué sheng,student,1-3
数学,shù xué,math,1-4
中学生,zhōng xué shēng,middle school student,1-5
学校,xué xiào,school,2-11
小学,xiǎo xué,elementary school,2-13
中学,zhōng xué,middle school,2-13
学,xué,learn,2-14
心理学,xīn lǐ xué,psychology,3-3
化学,huà xué,chemistry,3-5
医生,yī shēng,doctor,1-3
生活,shēng huó,live/living,2-13
先生,xiān sheng,Mr./Sir,2-18
生气,shēng qì,angry,2-30
生菜,shēng cài,lettuce,3-2
生物,shēng wù,biology,3-3
研究生,yán jiū shēng,graduate studies,3-17
生,shēng,give birth,3-17
奖,jiǎng,award,3-6
德国,dé guó,Germany,3-5
研究,yán jiū,research,3-18
实习,shí xí,internship,3-10
实验室,shí yàn shì,laboratory,3-18
卧室,wò shì,bedroom,2-1
室友,shì yǒu,roommate,2-7
办公室,bàn gōng shì,office,2-18
信用卡,xìn yòng kǎ,credit card,2-25
相信,xiāng xìn,believe,3-8
推荐信,tuī jiàn xìn,letter of recommendation,3-18
讨论,tǎo lùn,discuss,2-27
应该,yīng gāi,should,2-9
该,gāi,should (informal),3-18
怎么样,zěn me yàng,how about that,2-24
怎么办,zěn me bàn,what should I do,2-27
怎么走,zěn me zǒu,how do I get to,2-28
怎么,zěn me,how/so,3-1
多久,duō jiǔ,how long,3-23
分享,fēn xiǎng,share,3-13
享受,xiǎng shòu,enjoy,3-17
什么,shén me,what,2-8
简单,jiǎn dān,simple,3-15
单身,dān shēn,single,3-17
兴奋,xīng fèn,excited,2-17
很高兴认识你,hěn gāo xìng rèn shi nǐ,nice to meet you,3-9
兴趣,xìng qù,interest,3-10
有兴趣,yǒu xìng qù,interested in,3-16
手表,shǒu biǎo,watch,2-25
表哥,biǎo gē,cousin [c],3-12
表妹,biǎo mèi,cousin (f),3-12
表姐,biǎo jiě,cousin (older f),3-12
音乐,yīn yuè,music,1-4
俱乐部,jù lè bù,club,2-5
可乐,kě lè,cola,2-6
快乐,kuài lè,happy/joyful,2-10
乐队,yuè duì,band,3-16
音乐节,yīn yuè jié,music festival,3-16
乐器,yuè qì,instrument,3-16
刚刚,gāng gang,just,2-19
刚才,gāng cái,just now,3-16
完美,wán měi,perfect,3-16
菜,cài,cuisine/dish,1-6
蔬菜,shū cài,vegetable,2-4
点菜,diǎn cài,order food,2-18
菜市场,cài shì chǎng,market,3-14
白菜,bái cài,cabbage,3-14
菜谱,cài pǔ,recipe,3-15
奶油,nǎi yóu,cream,3-13
油,yóu,oil,3-15
酱油,jiàng yóu,soy sauce,3-15
肉,ròu,meat,2-4
鸡肉,jī ròu,chicken,2-12
牛肉,niú ròu,beef,2-12
猪肉,zhū ròu,pork,3-15
胡萝卜,hú luó bo,carrot,3-14
胡椒粉,hú jiāo fěn,pepper,3-15
勺子,sháo zi,spoon,2-7
勺,sháo,spoonful,3-15
总是,zǒng shì,always,3-24
幽默,yōu mò,humorous,3-24
笑,xiào,laugh,3-24
短信,duǎn xìn,text message,3-24
因为,yīn wèi,because,3-24
外,wài,outer,2-26
外国人,wài guó rén,foreigner,3-24
美国,měi guó,America,1-2
中国,zhōng guó,China,1-2
韩国,hán guó,South Korea,1-2
英国,yīng guó,the UK,1-5
泰国,tài guó,Thailand,2-5
法国,fǎ guó,France,2-29
人们,rén men,people,2-2
人,rén,person,2-5
每个人,měi gè rén,everyone (individual),2-27
纽约,niǔ yuē,New York,2-15
约会,yuē huì,date/dating,3-24
听,tīng,to listen,2-8
好听,hǎo tīng,pleasant to listen to,2-12
听说,tīng shuō,heard,3-6
说,shuō,speak,1-3
小说,xiǎo shuō,novel,2-20
穿,chuān,wear (on body),2-18
记者,jì zhě,journalist,3-24
或者,huò zhě,or (as statement),3-3
作者,zuò zhě,author,3-13
认识,rèn shi,to meet,2-30
认真,rèn zhēn,serious,3-24
真的吗,zhēn de ma,really?,1-9
真,zhēn,really,2-11
你好,nǐ hǎo,hello,1-9
好玩儿,hǎo wán r,fun,2-2
好吃,hǎo chī,delicious (food),2-2
好的,hǎo de,"okay, all right",2-3
好看,hǎo kàn,beautiful/nice to watch,2-7
好喝,hǎo hē,delicious (drink),2-12
好啊,hǎo ā,sure,2-14
好,hǎo,good,2-14
好像,hǎo xiàng,seems to,2-19
好朋友,hǎo péng you,good friend,2-22
爱好,ài hào,hobby,2-22
最好,zuì hǎo,had better,2-28
好吗,hǎo ma,okay?,3-2
您好,nín hǎo,hello (formal),3-4
好吧,hǎo bā,alright then,3-7
好巧啊,hǎo qiǎo ā,What a coincidence,3-9
好用,hǎo yòng,easy to use,3-11
好久不见,hǎo jiǔ bu jiàn,long time no see,3-17
好奇,hào qí,curious,3-24
奇怪,qí guài,strange,3-13
爱情,ài qíng,romance,2-3
可爱,kě ài,adorable,2-6
爱,ài,love,3-24
离,lí,from (distance),2-28
离开,lí kāi,to leave,3-24
开心,kāi xīn,happy/excited,2-9
开始,kāi shǐ,start,2-17
开,kāi,open,3-9
开朗,kāi lǎng,cheerful,3-12
前男友,qián nán yǒu,ex-boyfriend,3-24
朋友,péng you,friend,2-6
老朋友,lǎo péng you,old friend,2-14
男朋友,nán péng you,boyfriend,2-22
女朋友,nǚ péng you,girlfriend,2-22
积分,jī fēn,point,3-4
分钟,fēn zhōng,minute,3-9
分手,fēn shǒu,break up,3-24
洗手间,xǐ shǒu jiān,bathroom,1-8
手,shǒu,hand,2-4
歌手,gē shǒu,singer,2-12
手套,shǒu tào,glove,2-16
吃,chī,to eat,1-6
难吃,nán chī,unpleasant,3-14
吃惊,chī jīng,neutral/bad surprise,3-24
中午,zhōng wǔ,noon,3-7
你,nǐ,you,1-3
你们,nǐ men,you all,1-10
你呢,nǐ ne,how about you,1-2
初中,chū zhōng,junior high school,3-12
市中心,shì zhōng xīn,downtown,2-28
我,wǒ,I / me,1-2
我们,wǒ men,we,1-9
我叫,wǒ jiào,to be called,1-9
高中,gāo zhōng,high school,3-9
运动,yùn dòng,exercise/sport,1-10
运动鞋,yùn dòng xié,sneaker,2-25
运动员,yùn dòng yuán,athlete,2-29
幸运,xìng yùn,lucky,3-5
酒店,jiǔ diàn,hotel,2-15
酒,jiǔ,alcohol,2-18
啤酒,pí jiǔ,beer,2-29
酒吧,jiǔ bā,bar,3-7
想法,xiǎng fǎ,thought,2-27
毛衣,máo yī,sweater,2-21
羽毛球,yǔ máo qiú,badminton,2-29
地图,dì tú,map,2-28
最,zuì,the most,2-20
最喜欢的,zuì xǐ huan de,favorite,3-16
地铁,dì tiě,subway,2-3
地,dì,floor (ground),2-6
地方,dì fang,place,2-7
地铁站,dì tiě zhàn,subway station,2-11
地址,dì zhǐ,address,3-1
地道,dì dào,authentic,3-5
地理,dì lǐ,geography,3-8
困,kùn,sleepy,2-24
鸡蛋,jī dàn,egg,2-24
卖,mài,sell,2-8
态度,tài du,attitude,3-4
质量,zhì liàng,quality,3-4
修,xiū,repair,3-4
饼干,bǐng gān,cookie,2-5
干净,gān jìng,clean,2-8
干,gàn,dry,3-2
面条,miàn tiáo,noodle,2-5
条,tiáo,[m] string-like things,2-10
篮球,lán qiú,basketball,1-10
排球,pái qiú,volleyball,1-10
网球,wǎng qiú,tennis,1-10
棒球,bàng qiú,baseball,2-5
足球,zú qiú,soccer,2-5
气球,qì qiú,balloon,2-10
乒乓球,pīng pāng qiú,ping pong,2-14
医院,yī yuàn,hospital,2-9
电影院,diàn yǐng yuàn,movie theater,3-7
院子,yuàn zi,yard,3-19
辣,là,spicy,2-2
辣椒,là jiāo,chili pepper,2-24
旁边,páng biān,beside,2-11
海边,hǎi biān,seaside,2-21
左边,zuǒ bian,left side,3-19
漂亮,piào liang,beautiful,2-1
亮,liàng,bright,2-12
电视,diàn shì,TV,2-1
电影,diàn yǐng,movie,2-3
电脑,diàn nǎo,computer,2-6
电话,diàn huà,make a phone call,2-14
电视剧,diàn shì jù,TV series,2-22
电梯,diàn tī,elevator,2-30
充电,chōng diàn,charge,3-4
电话卡,diàn huà kǎ,SIM card,3-23
没电,méi diàn,out of battery,3-23
练习,liàn xí,practice,2-5
复习,fù xí,review,2-14
习惯,xí guàn,habit,3-15
着急,zhāo jí,anxious/impatient,2-15
鞋,xié,shoe,2-16
高跟鞋,gāo gēn xié,high heel,3-3
沙拉,shā lā,salad,2-20
拉面,lā miàn,ramen,3-5
小提琴,xiǎo tí qín,violin,2-8
拉,lā,to pull/play,2-8
弹,tán,play (music),2-5
钢琴,gāng qín,piano,2-5
麻将,má jiàng,mahjong,2-22
室内,shì nèi,indoors,3-25
社区中心,shè qū zhōng xīn,community center,3-25
下棋,xià qí,play chess,3-25
太极,tài jí,Tai Chi,3-25
友好,yǒu hǎo,friendly,3-25
他们,tā men,they,2-8
们,men,(plural for people),3-25
上个,shàng ge,last (time),3-25
个,gè,[c] general objects,1-9
每个月,měi gè yuè,every month,3-25
每个,měi gè,every,3-25
今晚,jīn wǎn,tonight,2-18
昨晚,zuó wǎn,last night,2-27
晚点儿,wǎn diǎn r,a bit later,3-7
晚,wǎn,late,3-7
声音,shēng yīn,sound,3-16
全家,quán jiā,family,3-25
晚上好,wǎn shang hǎo,Good evening,3-25
音乐家,yīn yuè jiā,musician,3-25
空调,kōng tiáo,air conditioner,2-26
声调,shēng diào,tone,3-25
流利,liú lì,fluent,3-25
外地人,wài dì rén,outsider,3-25
小区,xiǎo qū,residential complex,2-26
担心,dān xīn,worry,3-7
下雪,xià xuě,snow,3-11
下山,xià shān,descend,3-11
太,tài,too,2-21
不太,bú tài,not too ..,3-13
味道,wèi dao,taste,3-5
不知道,bù zhī dao,not know,2-19
知道,zhī dào,know,3-7
道,dào,[c] dishes,3-15
梦想,mèng xiǎng,dream,3-5
风景,fēng jǐng,landscape,3-5
考,kǎo,test,2-14
考虑,kǎo lǜ,consider,3-5
考试,kǎo shì,exam,3-8
公司,gōng sī,company,2-18
寿司,shòu sī,sushi,3-5
玩,wán,play,2-4
