chinese,pinyin,english,lesson
玩具,wán jù,toy,2-6
裤子,kù zi,pants,2-16
高,gāo,tall,2-11
多高,duō gāo,how tall,2-30
高铁,gāo tiě,high-speed train,3-1
作业,zuò yè,homework,2-24
毕业典礼,bì yè diǎn lǐ,graduation ceremony,3-3
专业,zhuān yè,major,3-3
动物园,dòng wù yuán,zoo,2-2
博物馆,bó wù guǎn,museum,2-3
礼物,lǐ wù,gift,2-10
动物,dòng wù,animal,3-11
宠物,chǒng wù,pet,3-12
年级,nián jí,grade/school class,3-25
恭喜,gōng xǐ,congratulations,3-3
故事,gù shi,story,3-6
日历,rì lì,calendar,3-25
有事儿,yǒu shì r,busy / have some matter,2-14
每周,měi zhōu,every week,3-2
每天,měi tiān,every day,2-23
没事儿,méi shì r,no problem,3-8
没事吧,méi shì bā,alright,2-30
词典,cí diǎn,dictionary,2-19
零,líng,zero,2-13
护照,hù zhào,passport,2-15
厨房,chú fáng,kitchen,2-1
弟弟,dì di,younger brother,2-12
情节,qíng jié,plot,3-13
房子,fáng zi,house,2-1
房间,fáng jiān,room,2-1
春节,chūn jié,Spring Festival,3-12
熊猫,xióng māo,panda,3-1
猫,māo,cat,2-12
聪明,cōng ming,intelligent,2-12
进,jìn,enter,2-30
盘子,pán zi,plate,2-4
飞盘,fēi pán,frisbee,2-8
睡觉,shuì jiào,sleep,2-8
起飞,qǐ fēi,take off,2-15
吸尘器,xī chén qì,vacuum cleaner,2-7
重,chóng,heavy/strong,2-7
重要,zhòng yào,important,2-18
借,jiè,borrow,2-6
带,dài,bring,2-3
领带,lǐng dài,tie,2-10
皮带,pí dài,belt,2-16
火锅,huǒ guō,hot pot,2-2
公园,gōng yuán,park,1-10
校园,xiào yuán,campus,2-11
花园,huā yuán,garden,2-26
老师,lǎo shī,teacher,1-3
老公,lǎo gōng,husband,1-5
老婆,lǎo po,wife,1-5
老板,lǎo bǎn,boss,2-18
老,lǎo,old (honorable),2-26
简历,jiǎn lì,resume,3-26
长城,cháng chéng,Great Wall,2-2
长,zhǎng,long,2-16
擅长,shàn cháng,excel,3-10
春天,chūn tiān,spring,2-2
自己,zì jǐ,oneself,3-26
女士,nǚ shì,Madam,3-26
努力,nǔ lì,hardworking,3-26
工资,gōng zī,salary,3-26
挑战,tiǎo zhàn,challenge,3-26
希望,xī wàng,hope,3-26
巧克力,qiǎo kè lì,chocolate,2-6
经验,jīng yàn,experience (have the ..),3-26
还,hái,still/also/return/yet,2-7
还没有,hái méi yǒu,not yet,3-10
物理,wù lǐ,physics,3-26
不但,bú dàn,not only,3-26
上一,shàng yī,last (previous),3-26
回答,huí dá,answer,3-26
员工,yuán gōng,employee,3-26
工作,gōng zuò,job,2-13
内,nèi,within,3-26
结束,jié shù,to end,2-29
结局,jié jì,ending,3-6
结果,jiē guǒ,result,3-26
果汁,guǒ zhī,juice,2-3
苹果,píng guǒ,apple,2-12
果酱,guǒ jiàng,jam,3-14
非常,fēi cháng,extremely,1-10
严格,yán gé,strict,3-10
价格,jià gé,price,3-4
性格,xìng gé,personality,3-12
像,xiàng,look like,3-12
有货,yǒu huò,available,3-4
丢,diū,lose,2-19
脸,liǎn,face,2-15
已经,yǐ jīng,already,3-27
药店,yào diàn,pharmacy,2-9
店,diàn,store,3-27
不舒服,bù shū fu,uncomfortable,2-9
服务,fú wù,service,2-25
服务台,fú wù tái,information desk,3-27
区,qū,section/district,3-27
试衣间,shì yī jiān,fitting room,2-16
面试,miàn shì,interview,3-3
试穿,shì chuān,try on,3-27
粉丝,fěn sī,fan (of..),2-29
粉色,fěn sè,pink,3-27
女装,nǚ zhuāng,women's clothing,3-27
小组,xiǎo zǔ,group,2-27
快,kuài,Fast / about to,2-3
快餐,kuài cān,fast food,2-20
周末,zhōu mò,weekend,2-3
有空儿,yǒu kòng r,have free time,2-3
公交站,gōng jiāo zhàn,bus stop,2-15
交,jiāo,deliver / pay,2-27
交通,jiāo tōng,transportation,3-1
坐,zuò,Take / sit,2-3
逛街,guàng jiē,shopping,2-28
街,jiē,street,2-28
受伤,shòu shāng,injure,3-28
警察,jǐng chá,police,3-28
腿,tuǐ,leg,3-28
有人,yǒu rén,someone,3-28
摩托车,mó tuō chē,motorcycle,3-28
摔倒,shuāi dǎo,fall,3-28
受欢迎,shòu huān yíng,popular,3-2
创口贴,chuāng kǒu tiē,band-aid,3-28
还好,hái hǎo,still good,3-28
左,zuǒ,left,2-28
听到,tīng dào,to hear,3-28
迟到,chí dào,be late,3-7
救护车,jiù hù chē,ambulance,3-28
手术,shǒu shù,surgery,3-28
通知,tōng zhī,inform,3-28
座位,zuò wèi,seat,2-17
位,wèi,[c] polite for people,3-28
充电器,chōng diàn qì,charger,3-28
呢,ne,used to ask back,3-25
律师,lǜ shī,lawyer,1-3
课,kè,class,1-4
爸爸,bà ba,dad,1-5
常常,cháng cháng,frequently,1-6
不常,bù cháng,infrequently,1-6
非常感谢,fēi cháng gǎn xiè,Thank you very much,3-26
又,yòu,again (in the past),3-29
口罩,kǒu zhào,mask,3-29
咳嗽,ké sòu,cough,3-29
病,bìng, disease / to fall ill ,3-29
生病,shēng bìng,get sick,3-29
照顾,zhào gu,take care of,3-29
压力很大,yā lì hěn dà,under stressed,3-29
所有,suǒ yǒu,all / every,3-6
所以,suǒ yǐ,therefore/so,3-29
可以,kě yǐ,can (permission),2-6
晚点,wǎn diǎn,delay,3-29
有点儿,yǒu diǎn r,a little,2-16
点,diǎn,a bit / order / point,2-18
早点儿,zǎo diǎn ér,earlier,2-24
甜点,tián diǎn,dessert,3-13
闹钟,nào zhōng,alarm clock,3-29
感冒,gǎn mào,catch a cold,3-29
口,kǒu,[c] for people,2-22
没胃口,méi wèi kǒu,have no appetite,3-29
在,zài,is/at,1-8
现在,xiàn zài,now,2-4
在家办公,zài jiā bàn gōng,work from home,3-29
公里,gōng lǐ,kilometer,3-11
方便,fāng biàn,convenient,2-23
方便面,fāng biàn miàn,instant noodles,3-29
便宜,pián yi,cheap,2-16
过敏,guò mǐn,have an allergic reaction,3-29
地下,dì xià,underground,3-27
下次吧,xià cì bā,next time!,3-29
吧,ba,indicating suggestions,2-3
心情,xīn qíng,mood,3-29
脏,zāng,dirty,2-7
邻居,lín jū,neighbor,2-7
找,zhǎo,search / look for,2-7
那,nà,that,2-7
那些,nà xiē,those,2-7
那里,nà li,there,2-15
椅子,yǐ zi,chair,2-7
衣服,yī fu,clothes,2-7
连衣裙,lián yī qún,dress,2-16
雨衣,yǔ yī,raincoat,2-21
衣柜,yī guì,wardrobe,2-26
都,dōu,all / everyone,1-9
拖把,tuō bǎ,mop,2-7
把,bǎ,introducing objects,3-19
儿子,ér zi,son,1-5
桌子,zhuō zi,table,2-1
饺子,jiǎo zi,dumpling,2-3
杯子,bēi zi,cup,2-4
兔子,tù zi,rabbit,2-6
帽子,mào zi,hat,2-7
筷子,kuài zi,chopsticks,2-7
肚子,dù zi,abdomen,2-9
袜子,wà zi,sock,2-16
牌子,pái zi,brand,2-16
镜子,jìng zi,mirror,2-26
句子,jù zi,sentence,3-8
例子,lì zi,example,3-8
靴子,xuē zi,boot,3-11
橙子,chéng zi,orange,3-14
孩子,hái zi,child,3-17
箱子,xiāng zi,box,3-19
看,kàn,to read / watch / look at,1-6
看见,kàn jiàn,see/catch sight...,2-30
舒服,shū fu,comfortable,2-1
扫,sǎo,sweep,2-6
克,kè,gram,3-15
想,xiǎng,want,2-6
可怕,kě pà,scary,3-11
狗,gǒu,dog,2-6
姐姐,jiě jie,sister (older),2-6
小姐,xiǎo jiě,Miss,2-19
商场,shāng chǎng,mall,2-6
操场,cāo chǎng,playground,2-11
广场,guǎng chǎng,square,3-9
哥哥,gē ge,brother,2-6
好好休息,hǎo hǎo xiū xi,get some good rest,3-28
冰,bīng,ice,1-7
冰箱,bīng xiāng,refrigerator,2-1
冰淇淋,bīng qí lín,ice cream,2-4
对不对,duì bu duì,right?,1-3
不,bù,no / negative,1-7
对不起,duì bu qǐ,sorry,3-9
去,qù,to go,1-6
女儿,nǚ ér,daughter,1-5
女孩儿,nǚ hái r,girl,2-8
画儿,huà r,painting,2-26
对,duì,correct,1-3
派对,pài duì,party,2-10
对面,duì miàn,across from,2-15
妹妹,mèi mei,younger sister,2-8
早,zǎo,early (in time),3-7
帮助,bāng zhù,to help,2-8
帮,bāng,help,2-24
忙,máng,busy,2-8
睡,shuì,sleep (short form),2-8
需要,xū yào,need,2-8
喂,wéi,hello (on the phone),2-8
怎么写,zěn me xiě,how to write,3-25
起床,qǐ chuáng,get up,2-23
吉他,jí tā,guitar,2-5
歌,gē,song,2-5
唱歌,chàng gē,sing a song,2-5
唱,chàng,sing,2-5
教练,jiào liàn,coach,3-2
航班,háng bān,flight,3-1
牙,yá,tooth,2-23
面包,miàn bāo,bread,2-5
里面,lǐ miàn,inside,2-11
喜欢,xǐ huan,like,1-4
喜剧,xǐ jù,comedy,2-5
惊喜,jīng xǐ,positive surprise,2-10
欢迎,huān yíng,welcome,2-18
欢迎光临,huān yíng guāng lín,welcome to visit,3-2
他,tā,he,1-4
她,tā,she,1-4
妈妈,mā ma,mother,1-5
公寓,gōng yù,apartment,2-1
也,yě,also,1-5
也许,yě xǔ,may,3-10
超市,chāo shì,supermarket,1-6
城市,chéng shì,city,2-17
体育馆,tǐ yù guǎn,gymnasium,2-11
买,mǎi,to buy,1-6
零食,líng shí,snack,1-6
食堂,shí táng,cafeteria,2-11
要,yào,want to,1-7
牛奶,niú nǎi,milk,1-7
奶奶,nǎi nai,grandmother (fathers),2-10
酸奶,suān nǎi,yogurt,3-2
两,liǎng,two,1-7
绿色,lǜ sè,green,2-19
天气,tiān qì,weather,2-14
里,lǐ,inside (short term),2-26
钱包,qián bāo,wallet,1-8
钱,qián,money,2-30
块钱,kuài qián,dollar,3-15
包,bāo,bag,2-25
背包,bēi bāo,backpack,3-11
汉堡包,hàn bǎo bāo,hamburger,3-16
洗,xǐ,wash,2-4
衣帽间,yī mào jiān,cloakroom,3-30
有时间,yǒu shí jiān,have time,3-30
网站,wǎng zhàn,website,2-25
站,zhàn,stand,3-9
哎呀,āi yā,oh no (surprise),1-8
票,piào,ticket,2-17
售票处,shòu piào chù,ticket office,2-17
小票,xiǎo piào,receipt,3-1
先,xiān,first,2-4
红色,hóng sè,red,2-19
小心,xiǎo xīn,be careful,2-4
放,fàng,add/put,2-4
放松,fàng sōng,to relax,3-13
爷爷,yé ye,grandfather (fathers),2-4
多,duō,many/much,2-4
很多,hěn duō,a lot of,2-13
用,yòng,use,2-4
有用,yǒu yòng,useful,2-27
碗,wǎn,bowl,2-4
走,zǒu,walk / leave,2-28
取钱,qǔ qián ,withdraw,3-30
柜台,guì tái ,counter,3-30
先别,xiān bié ,not yet ,3-30
预约,yù yuē ,appointment,3-30
邮局,yóu jú ,post office,3-30
信,xìn ,letter,3-30
胶带,jiāo dài ,sticky tape,3-30
称,chēng ,weigh,3-30
复印,fù yìn ,photo copy,3-30
封,fēng ,[c] letters,3-30
信封,xìn fēng ,envelope,3-30
邮编,yóu biān ,postal code,3-30
工作人员,gōng zuò rén yuán ,staff,3-30
邮票,yóu piào ,stamp,3-30
过来,guò lái ,come over,3-30
快递,kuài dì ,courier,3-30
卫生纸,wèi shēng zhǐ,toilet paper,3-30
取,qǔ ,fetch,3-30
洗衣液,xǐ yī yè ,laundry detergent,3-30
袋,dài ,"bag, sack",3-30
有,yǒu,have,1-9
有趣,yǒu qù,interesting,2-5
没有,méi yǒu,don’t have,2-12
有风,yǒu fēng,windy,2-21
有雨,yǒu yǔ,having rain,2-21
明天,míng tiān,tomorrow,2-10
明天见,míng tiān jiàn,see you tomorrow,2-27
今天,jīn tiān,today,1-9
夏天,xià tiān,summer,2-2
冬天,dōng tiān,winter,2-2
秋天,qiū tiān,autumn,2-2
昨天,zuó tiān,yesterday,2-9
聊天,liáo tiān,chat,2-20
天呐,tiān nà,oh my,2-20
晴天,qíng tiān,sunny day,2-21
吗,ma,?,1-5
活动,huó dòng,activity/event,2-11
动,dòng,move (general),3-28
跑步,pǎo bù,run,1-10
跑,pǎo,run (short form),1-10
网,wǎng,internet,2-25
无线网,wú xiàn wǎng,Wi-Fi,3-23
比较,bǐ jiào,relatively,1-10
比赛,bǐ sài,match,2-29
身体,shēn tǐ,body,3-2
只,zhǐ,only/[c] animals,2-1
小,xiǎo,small/young,2-1
讲,jiǎng,tell (speech),3-6
小偷,xiǎo tōu,thief,2-30
小时,xiǎo shí,hour,3-23
床,chuáng,bed,2-1
旧,jiù,old (objects),2-1
乱,luàn,messy,2-1
餐桌,cān zhuō,dining table,3-19
当,dāng,become,3-17
眼镜,yǎn jìng,glasses,3-9
颜色,yán sè,color,2-26
眼睛,yǎn jing,eye,3-2
冷,lěng,cold,2-2
特别,tè bié,especially,2-2
特价,tè jià,on special offer,3-14
别,bié,don't,2-4
别着急,bié zhāo jí,don't worry,2-15
故宫,gù gōng,Forbidden City,2-2
远,yuǎn,far,2-2
贵,guì,expensive,2-2
适合,shì hé,suit,3-2
作品,zuò pǐn,work,3-6
到,dào,reach,2-15
搬到,bān dào,move to..,3-3
一月,yī yuè,January,3-17
十一月,shí yí yuè,November,3-20
蛋糕,dàn gāo,cake,2-3
糟糕,zāo gāo,oh no (smt bad),3-7
做,zuò,do/make,2-3
喝,hē,to drink,2-3
跟,gēn,with,2-9
头,tóu,head,2-9
疼,téng,painful,2-9
药,yào,medicine,2-9
下午,xià wǔ,afternoon,2-9
下,xià,next/lower,2-10
下雨,xià yǔ,rain,3-3
下,xià,[c] brief action,3-6
束,shù,bouquet,2-9
煮,zhǔ,boil,2-9
体温,tǐ wēn,temperature,2-9
厉害,lì hai,impressive,2-22
害怕,hài pà,to be afraid,2-30
害羞,hài xiū,shy,3-12
农村,nóng cūn,countryside,2-22
了,le,completed action marker,2-9
饮料,yǐn liào,drink,2-10
塑料袋,sù liào dài,plastic bag,3-14
种,zhǒng,type,2-5
鱼,yú,fish,2-10
钓鱼,diào yú,to fish,2-14
围巾,wéi jīn,a scarf,2-10
参观,cān guān,visit,2-11
宿舍,sù shè,dormitory,2-11
通过,tōng guò,pass,3-8
密码,mì mǎ,password,3-1
付,fù,pay,3-1
T恤,xù,T-shirt,3-1
折,zhé,discount,2-25
骨折,gǔ zhé,break,3-28
危险,wēi xiǎn,dangerous,2-20
蜘蛛,zhī zhū,spider,2-20
选,xuǎn,choose,2-27
帅,shuài,handsome,3-6
介绍,jiè shào,introduce,3-6
词,cí,word,3-8
树,shù,tree,3-11
紧张,jǐn zhāng,nervous,2-14
紧,jǐn,tight,2-16
爬山,pá shān,hiking,2-14
山,shān,mountain,3-5
山顶,shān dǐng,summit,3-11
纪念品,jì niàn pǐn,souvenir,2-17
无聊,wú liáo,boring,2-20
容易,róng yì,easy,2-20
戴,dài,"wear (on hands, head etc)",2-21
钥匙,yào shi,key,2-23
百,bǎi,hundred,2-25
块,kuài,chunk/[c] money,2-25
慢,màn,slow,2-25
退,tuì,withdraw/retreat,2-25
退款,tuì kuǎn,refund,3-4
计划,jì huà,general plan,2-17
难,nán,difficult,2-17
难过,nán guò,sad,3-8
等,děng,wait,2-17
等于,děng yú,equal,3-4
稍等,shāo děng,hold on,3-30
产品,chǎn pǐn,product,3-2
化妆品,huà zhuāng,cosmetics,3-27
关,guān,close,2-21
骑,qí,ride,2-23
的时候,de shí hou,when.....,2-2
漫画,màn huà,comic,2-23
浪漫,làng màn,romantic,3-9
能,néng,can (ability),3-4
尺寸,chǐ cun,size,3-4
抱歉,bào qiàn,apologize,3-4
终于,zhōng yú,finally/at last,3-16
度,dù,degree (temperature),3-29
您,nín,you (formal),3-2
教,jiào,teach,3-5
教授,jiào shòu,professor,3-10
甜,tián,sweet,3-2
接,jiē,pick up,2-24
见,jiàn,see/meet,2-14
再见,zài jiàn,goodbye,3-19
苦,kǔ,bitter,3-13
更,gèng,more,3-13
环境,huán jìng,environment,3-13
画展,huà zhǎn,art exhibition,3-13
节,jié,[c] for sessions,1-9
海滩,hǎi tān,beach,3-5
很,hěn,very,2-1
香港,xiāng gǎng,Hong Kong,2-13
香蕉,xiāng jiāo,banana,3-14
岁,suì,years old,2-13
张,zhāng,[c] for flat objects,3-1
伦敦,lún dūn,London,3-5
切,qiē,cut,3-15
半,bàn,half,3-15
炒,chǎo,stir-fry,3-15
咸,xián,salty,3-15
饱,bǎo,full,3-15
垃圾桶,lā jī tǒng,trash can,3-16
才,cái,just/only,3-7
鼓掌,gǔ zhǎng,applaud,3-16
哭,kū,cry,3-16
双,shuāng,pair,2-16
硬,yìng,hard,2-16
厚,hòu,thick,2-16
白色,bái sè,white,2-16
黑色,hēi sè,black,2-16
蓝色,lán sè,blue,2-19
灰色,huī sè,gray,2-30
黄色,huáng sè,yellow,3-9
棕色,zōng sè,brown,3-12
黑板,hēi bǎn,blackboard,3-8
皮肤,pí fū,skin,3-2
饿,è,hungry,2-16
渴,kě,thirsty,2-16
善良,shàn liáng,kind,3-6
再,zài,again (in the future),3-6
着,zhe,indicating ongoing action,3-9
过,guò,indicating past experience,3-5
建议,jiàn yì,suggestion,3-5
结账,jié zhàng,settle the bill,3-27
巴黎,bā lí,Paris,2-29
凌晨,líng chén,early morning,2-29
精彩,jīng cǎi,excellent,2-29
庆祝,qìng zhù,celebrate,2-29
衬衫,chèn shān,shirt/blouse,2-18
层,céng,floor (level),2-18
谁,shéi,who,2-18
清楚,qīng chu,clear,3-8
页,yè,page,3-8
从,cóng,from (origin),3-10
瓶,píng,bottle of,3-15
草莓,cǎo méi,strawberry,3-14
脆,cuì,crisp,3-14
洋葱,yáng cōng,onion,3-14
雨伞,yǔ sǎn,umbrella,2-19
汉字,hàn zì,Chinese characters,2-20
叫,jiào,call,2-19
四川,sì chuān,Sichuan,2-20
写,xiě,write,2-20
怕,pà,afraid,2-20
给,gěi,give,2-27
推荐,tuī jiàn,recommend,2-28
千,qiān,thousand,2-28
右,yòu,right,2-28
让,ràng,let/make,4-1
负责,fù zé,take responsibility for,4-1
亲戚,qīn qi,relative,4-1
要求,yāo qiú,requirement,4-1
批评,pī píng,criticize,4-1
瑜伽,yú jiā,yoga,4-1
其实,qí shí,actually,4-1
遇到,yù dào,encounter,4-1
家庭聚会,jiā tíng jù huì,family gathering,4-1
组长,zǔ zhǎng,team leader,4-1
心烦,xīn fán,upset,4-1
表格,biǎo gé,form,4-1
合作,hé zuò,collaborate,4-1
轻松,qīng sōng,being relaxed,4-1
冥想,míng xiǎng,meditation,4-1
有帮助,yǒu bāng zhù,helpful,4-1
改天,gǎi tiān,another day,4-1
那么,nà me,so,4-1
试,shì,try (casual),4-1
记性,jì xing,memory,4-2
变化,biàn huà,change,4-2
胖,pàng,fat,4-2
有耐心,yǒu nài xīn,patient,4-2
追求,zhuī qiú,pursue,4-2
保持,bǎo chí,maintain,4-2
同学聚会,tóng xué jù huì,class reunion,4-2
前年,qián nián,the year before last,4-2
那年,nà nián,that year,4-2
生意,shēng yi,business,4-2
院长,yuàn zhǎng,dean,4-2
完全,wán quán,completely,4-2
体育,tǐ yù,physical education,4-2
讲座,jiǎng zuò,lecture,4-2
开玩笑,kāi wán xiào,joke,4-2
下次见,xià cì jiàn,See you next time,4-2
正常,zhèng cháng,normal,4-3
工厂,gōng chǎng,factory,4-3
本来,běn lái,originally,4-3
笔记本电脑,bǐ jì běn diàn nǎo,laptop,4-3
电,diàn,electricity,4-3
电池,diàn chí,battery,4-3
充电宝,chōng diàn bǎo,power bank,4-3
肯定,kěn dìng,definitely,4-3
突然,tū rán,suddenly,4-3
地铁卡,dì tiě kǎ,metro card,4-3
不见了,bú jiàn le,disappear,4-3
错过,cuò guò,miss,4-3
视频会议,shì pín huì yì,video conference,4-3
最后,zuì hòu,finally/last,4-3
只好,zhǐ hǎo,have to,4-3
别人,bié ren,other people,4-3
锻炼,duàn liàn,exercise,4-4
高兴,gāo xìng,happy,4-4
看起来,kàn qi lai,looks like..,4-4
说实话,shuō shí huà,to be honest,4-4
郊外,jiāo wài,suburb,4-4
方法,fāng fǎ,method,4-4
空气,kōng qì,air,4-4
大自然,dà zì rán,nature,4-4
刺激,cì jī,exciting,4-4
美甲,měi jiǎ,manicure,4-4
感动,gǎn dòng,touched,4-4
关心,guān xīn,care/caring,4-4
安排,ān pái,organize,4-4
偶尔,ǒu ěr,occasionally,4-5
农历,nóng lì,lunar calendar,4-5
中秋节,zhōng qiū jié,Mid-Autumn Festival,4-5
月亮,yuè liang,moon,4-5
月饼,yuè bǐng,mooncake,4-5
蛋黄,dàn huáng,egg yolk,4-5
北方,běi fāng,the north,4-5
南方,nán fāng,south,4-5
每年,měi nián,every year,4-5
楼顶,lóu dǐng,rooftop,4-5
粽子,zòng zi,rice dumpling,4-5
端午节,duān wǔ jié,Dragon Boat Festival,4-5
放烟花,fàng yān huā,set off fireworks,4-5
节日,jié rì,festival,4-5
大餐,dà cān,feast,4-5
打视频,dá shì pín,video call,4-5
戒指,jiè zhi,ring,4-6
看中,kàn zhòng,take a liking,4-6
难看,nán kàn,ugly,4-6
手链,shǒu liàn,bracelet,4-6
划算,huá suàn,cost-effective,4-6
刚好,gāng hǎo,just right,4-6
银,yín,silver,4-6
短,duǎn,short,4-6
短裤,duǎn kù,shorts,4-6
皮鞋,pí xié,leather shoes,4-6
梳子,shū zi,comb,4-6
香水,xiāng shuǐ,perfume,4-6
墨镜,mò jìng,sunglasses,4-6
把,bǎ,（m)  smt with handle,4-6
三明治,sān míng zhì,sandwich,4-7
厨师,chú shī,chef,4-7
好评,hǎo píng,positive review,4-7
多远,duō yuǎn,how far,4-7
菜单,cài dān,menu,4-7
顾客,gù kè,customer,4-7
咖喱,gā lí,curry,4-7
牛排,niú pái,steak,4-7
蜂蜜,fēng mì,honey,4-7
闻起来,wén qǐ lai,smells like,4-7
香草,xiāng cǎo,vanilla,4-7
服务员,fú wù yuán,waiter,4-7
差评,chà píng,negative review,4-7
体验,tǐ yàn,experience,4-7
懂,dǒng,comprehend/grasp,4-8
数据,shù jù,data (raw),4-8
整个,zhěng gè,entire,4-8
方案,fāng àn,detailed plan,4-8
合理,hé lǐ,reasonable,4-8
合同,hé tong,contract,4-8
确定,què dìng,confirm,4-8
准确,zhǔn què,accurate,4-8
进度,jìn dù,progress,4-8
资料,zī liào,materials/documents,4-8
收集,shōu jí,collect,4-8
部分,bù fen,part,4-8
内容,nèi róng,content,4-8
复杂,fù zá,complex,4-8
细节,xì jié,detail,4-8
刀,dāo,knife,4-9
醋,cù,vinegar,4-9
宫保鸡丁,gōng bǎo jī dīng,Kung Pao chicken,4-9
调料,tiáo liào,seasoning,4-9
清单,qīng dān,list,4-9
加热,jiā rè,heat,4-9
餐厅,cān tīng,formal restaurant,4-9
哪儿,nǎ r,where,4-9
烟,yān,smoke,4-9
花生,huā shēng,peanut,4-9
美元,měi yuán,US dollar,4-10
公布,gōng bù,announce,4-10
外向,wài xiàng,outgoing,4-10
学院,xué yuàn,college,4-10
交换,jiāo huàn,exchange,4-10
意大利,yì dà lì,Italy,4-10
大部分,dà bù fen,most,4-10
赶快,gǎn kuài,quickly,4-10
收到,shōu dào,receive,4-10
房东,fáng dōng,landlord,4-10
期末,qī mò,end of term,4-10
当地,dāng dì,local,4-10
了解,liǎo jiě,know/be familiar,4-10
一个人,yí gè rén,alone,4-10
自信,zì xìn,confident,4-10
抓,zhuā,apprehend,4-11
虫子,chóng zi,insect,4-11
猴子,hóu zi,monkey,4-11
难忘,nán wàng,unforgettable,4-11
再也不,zài yě bù,no longer,4-11
男人,nán rén,man,4-11
女人,nǚ rén,woman,4-11
平板电脑,píng bǎn diàn nǎo,tablet computer,4-11
耳环,ěr huán,earring,4-11
救,jiù,save,4-11
车祸,chē huò,car accident,4-11
导游,dǎo yóu,tour guide,4-11
手指,shǒu zhǐ,finger,4-11
吵架,chǎo jià,argue,4-2
尴尬,gān gà,awkward,4-2
咱们,zán men,we/us (casual),4-2
拒绝,jù jué,refuse,4-2
组织,zǔ zhī,to organize ,4-2
传统,chuán tǒng,traditional,4-5
没想到,méi xiǎng dào,unexpected,4-6
软,ruǎn,soft,4-6
薄,báo,thin,4-6
极,jí,extremely/top,4-6
金,jīn,gold,4-6
松,sōng,loose,4-6
冲浪,chōng làng,surfing,4-4
敢,gǎn,dare,4-6
跳伞,tiào sǎn,skydiving,4-4
按摩,àn mó,massage,4-4
泡温泉,pào wēn quán,hot springs,4-4
解压,jiě yā,relieve stress,4-4
尝试,cháng shì,try (more formal),4-4
散步,sàn bù,take a walk,4-4
唉,ài,sigh/oh well,4-4
刷,shuā,brush,0-0
啊,a,"oh (surprise, realization)",4-7
顿,dùn,meal,4-7
越来越,yuè lái yuè,more and more,4-7
翻译,fān yì,"to translate, translator",
背,bēi,to carry on back/shoulder,3-11
蛇,shé,snake,
跳舞,tiào wǔ,dancing,
送,sòng,to send/deliver,
遛狗,liù gǒu,walk a dog,
队,duì,team,3-16
偷,tōu,to steel,
打车,dǎ chē,take a taxi,
姜,jiāng,ginger,4-9
锅,guō,pot,4-9
步,bù,step,4-9
微波炉,wēi bō lú,microwave,4-9
搅拌,jiǎo bàn,mix/stir,4-9
倒,dào,to pour,4-9
葱,yáng cōng,scallion / green onion ,4-9
烫,tàng,to blanch,4-9
关紧,guān jǐn,to close firmly/to lock,4-9
递给,dì gěi,to hand it,4-9
交,jiāo,make ???,4-10
开学,kāi xué,school starts,4-10
事,shì,thing/matter,4-11
别提了,bié tí le,don’t mention it,4-11
骂,mà,scold,4-11
被,bèi,being,4-11
被拒绝,bèi jù jué,refected,4-11
插队,chā duì,cutting in line,4-11
辆,liàng,[c] vehicles,4-11
撞,zhuàng,collide,4-11
咬,yǎo,bite,4-11
明白,míng bái,realize/be clear,4-11
